scanned,registrarname,domains,total_apwg,legacy_apwg,apwg_legacy_2_legacy
30-06-2016,mindsandmachines,45733,0.0,11.0,0.0
30-06-2016,shinjirumscsdnbhd,11918,0.0,63.0,0.0
30-06-2016,mindsmachinesregistrar,4534,0.0,0.0,0.0
30-06-2016,upperlink,3093,0.0,16.0,0.0
30-06-2016,rethemhosting,1733,0.0,11.0,0.0
30-06-2016,tecnologiadesarrolloymercadosderldecv,1414,0.0,0.0,0.0
30-06-2016,abughazalehintellectualpropertydbatagidomainscom,1166,0.0,1.0,0.0
30-06-2016,internetdomainservicebsrasia,399,0.0,0.0,0.0
30-06-2016,vodieninternetsolutionspterasia,13,0.0,1.0,0.0
30-06-2016,reservedinternetassignednumbersauthority,2,0.0,0.0,0.0
