scanned,registrarname,domains,total_apwg,apwg_ratio
30-06-2016,shinjirumscsdnbhd,11918,0.0,0.0
30-06-2016,upperlink,3093,0.0,0.0
30-06-2016,rethemhosting,1733,0.0,0.0
30-06-2016,tecnologiadesarrolloymercadosderldecv,1414,0.0,0.0
30-06-2016,abughazalehintellectualpropertydbatagidomainscom,1166,0.0,0.0
30-06-2016,internetdomainservicebsrasia,399,0.0,0.0
30-06-2016,vodieninternetsolutionspterasia,13,0.0,0.0
30-06-2016,sssasss,6,0.0,0.0
30-06-2016,reservedinternetassignednumbersauthority,2,0.0,0.0
30-06-2016,azplrasia,2,0.0,0.0
