country,domains
United States,152373947
China,24054863
Germany,18032759
Canada,16880525
India,11075013
Japan,7799537
Australia,6422189
United Kingdom,4217545
France,2596938
Turkey,2416583
Denmark,2374850
Spain,2263005
Korea (South),1712673
Hong Kong,1464981
Cayman Islands,1273025
Netherlands,1236834
Italy,1122007
United Arab Emirates,1114134
Bahamas,850124
Russian Federation,804301
Malaysia,655322
Vietnam,545506
Indonesia,519653
Brazil,501236
Norway,463903
Empty,406984
Gibraltar,355732
Ireland,280733
Switzerland,277347
Luxembourg,247045
Sweden,215831
Monaco,209951
Israel,205833
Argentina,196917
Ukraine,185514
Singapore,177746
Mexico,173760
Czech Republic,173601
Poland,172519
Lithuania,101841
Panama,93919
Austria,90000
Barbados,86279
Belgium,69127
Taiwan,47780
Greece,45543
South Africa,37832
Hungary,20837
Thailand,14300
Morocco,13709
New Zealand,12835
NULL,11972
Pakistan,11023
new zealand,7558
Senegal,7052
Latvia,6218
United State,5264
Finland,4723
Nigeria,4519
United United States,3919
Kuwait,3101
Honduras,2027
Burundi,1540
Jordan,1365
Liechtenstein,579
Costa Rica,520
Ghana,272
Philippines,194
Bulgaria,110
Bangladesh,1
