country,domains
united states,152527872
china,24098150
germany,18044735
canada,16704693
india,11135408
japan,7935585
australia,6425896
france,4988581
united kingdom,4511714
turkey,2418232
denmark,2375115
spain,2279719
korea (south),1725418
hong kong,1470158
cayman islands,1275315
netherlands,1237740
italy,1122174
united arab emirates,1116347
bahamas,850677
russian federation,826659
malaysia,656556
vietnam,546314
indonesia,520482
brazil,512254
norway,463923
ireland,281528
luxembourg,247171
sweden,215965
monaco,210001
israel,205917
argentina,196957
ukraine,186633
cyprus,186041
singapore,177838
mexico,175245
czech republic,173886
poland,172530
lithuania,102294
panama,94351
austria,90020
barbados,86840
belgium,69139
taiwan,47795
greece,45552
south africa,37916
gibraltar,27559
hungary,20839
new zealand,20393
thailand,14309
morocco,13728
pakistan,11395
switzerland,7191
senegal,7076
latvia,6218
finland,4726
nigeria,4527
kuwait,3101
honduras,2027
burundi,1551
jordan,1366
liechtenstein,579
costa rica,521
united statesv,303
ghana,275
philippines,194
bulgaria,110
bangladesh,1
