united states,1985574
japan,1190409
china,319546
india,268812
germany,73185
ireland,58292
canada,40355
australia,33080
turkey,32266
bahamas,28918
united kingdom,28672
hong kong,23243
cayman islands,18882
france,16382
russian federation,10757
malaysia,9914
united arab emirates,8400
cyprus,8380
spain,7603
netherlands,7161
ukraine,7023
israel,5537
singapore,5094
indonesia,4212
pakistan,3583
denmark,3057
gibraltar,3000
czech republic,2908
italy,2615
korea (south),2223
vietnam,1567
brazil,1368
argentina,1071
mexico,817
monaco,683
lithuania,629
luxembourg,600
sweden,580
panama,497
south africa,451
poland,332
burundi,266
barbados,175
greece,165
taiwan,162
belgium,153
norway,145
senegal,133
philippines,126
austria,112
nigeria,107
morocco,97
hungary,48
thailand,43
new zealand,21
jordan,16
kuwait,9
switzerland,9
costa rica,4
honduras,3
latvia,1
united statesv,1
finland,1
