date,domains
2010-01-01,2
2010-02-01,1
2010-04-01,10
2010-08-01,3
2010-09-01,1
2010-10-01,3
2010-11-01,3
2010-12-01,1
2011-01-01,1
2011-03-01,1
2011-05-01,3
2011-08-01,2
2011-10-01,4
2011-11-01,1
2011-12-01,2
2012-01-01,3
2012-02-01,1
2012-03-01,2
2012-04-01,5
2012-05-01,2
2012-06-01,2
2012-07-01,1
2012-08-01,4
2012-09-01,4
2012-10-01,2
2012-11-01,2
2012-12-01,3
2013-03-01,2
2013-04-01,1
2013-08-01,1
2013-11-01,1
2015-02-01,1
2015-04-01,1
2015-06-01,2
2015-07-01,2
2015-08-01,4
2015-09-01,39
2015-10-01,108
2015-11-01,18
2015-12-01,453
2016-01-01,299
2016-02-01,1049
2016-03-01,1130
2016-04-01,1156
2016-05-01,876
2016-06-01,670
2016-07-01,267
2016-08-01,588
2016-09-01,94
2016-10-01,146
2016-11-01,329
2016-12-01,226
2017-01-01,38
2017-02-01,21
2017-03-01,13
