lower(country),tot
united states,3188
china,293
united kingdom,251
germany,247
canada,196
australia,163
india,155
japan,144
france,133
spain,110
korea (south),93
ireland,85
netherlands,76
hong kong,69
russian federation,63
denmark,57
null,48
sweden,48
italy,45
turkey,42
switzerland,32
singapore,31
united arab emirates,29
israel,24
belgium,22
vietnam,21
austria,18
malaysia,15
cayman islands,15
indonesia,15
gibraltar,14
ukraine,14
panama,13
south africa,13
luxembourg,13
czech republic,13
taiwan,13
norway,12
bahamas,10
mexico,10
barbados,10
brazil,9
thailand,8
new zealand,8
pakistan,8
monaco,8
greece,7
ghana,6
kuwait,6
lithuania,6
liechtenstein,5
argentina,5
philippines,5
poland,5
latvia,4
NULL,3
finland,3
morocco,3
burundi,3
jordan,3
nigeria,3
senegal,2
hungary,2
portugal,2
costa rica,2
uruguay,2
tatarstan republic,1
saudi arabia ,1
honduras,1
bangladesh,1
iraq,1
bulgaria,1
qatar,1
